invoice_id,po_number,customer_name,customer_email,amount,tax_amount,total_amount,currency,invoice_date
INV-2025833292,PO-9246,Rohan Menon,rohanmenon@test.org,123345.63,6167.28,129512.91,INR,2025-05-10
INV-2025866162,PO-3381,Arjun Menon,arjunmenon@mailinator.com,52146.84,2607.34,54754.18,INR,2025-02-03
INV-2025260190,PO-8174,Navya Bansal,navyabansa@mailinator.com,21560.39,3880.87,25441.26,INR,2025-01-21
INV-2025670468,PO-5118,Ishaan Pillai,ishaanpill@test.org,35555.39,4266.65,39822.04,INR,2025-08-07
INV-2025637853,PO-1912,Sai Menon,saimenon@test.org,6929.41,346.47,7275.88,INR,2025-03-10
INV-2025545307,,Navya Bansal,navyabansa@mailinator.com,17959.83,3232.77,21192.6,INR,2025-03-31
INV-2025740151,PO-1878,Ritvik Bansal,ritvikbans@example.com,96575.2,11589.02,108164.22,INR,2025-07-15
INV-2025650523,PO-2549,Anaya Gupta,anayagupta@example.com,55934.0,10068.12,66002.12,INR,2025-06-28
INV-2025171922,PO-6192,Rohan Kapoor,rohankapoo@sample.net,2400.71,120.04,2520.75,INR,2025-07-22
INV-2025672659,,Kiara Ghosh,kiaraghosh@demo.co,136056.3,6802.81,142859.11,INR,2025-06-15
INV-2025669711,PO-7906,Rohan Nair,rohannair@test.org,131463.0,6573.15,138036.15,INR,2025-06-25
INV-2025101943,PO-3526,Vihaan Das,vihaandas@sample.net,112844.42,5642.22,118486.64,INR,2025-01-29
INV-2025491544,,Pari Patel,paripatel@sample.net,188844.75,22661.37,211506.12,INR,2025-04-26
INV-2025265819,PO-5713,Ishaan Nair,ishaannair@mailinator.com,156557.49,18786.9,175344.39,INR,2025-02-16
INV-2025390649,PO-8197,Aisha Mehta,aishamehta@mailinator.com,87491.24,15748.42,103239.66,INR,2025-04-27
INV-2025273644,,Arjun Rao,arjunrao@demo.co,6934.9,1248.28,8183.18,INR,2025-07-02
INV-2025463903,PO-4814,Pari Khan,parikhan@example.com,144283.31,7214.17,151497.48,INR,2025-05-10
INV-2025568729,PO-9464,Krishna Iyer,krishnaiye@example.com,96534.35,17376.18,113910.53,INR,2025-05-21
INV-2025618410,PO-3365,Sai Nair,sainair@test.org,51519.63,6182.36,57701.99,INR,2025-02-21
INV-2025506158,,Ishaan Nair,ishaannair@mailinator.com,78298.11,3914.91,82213.02,INR,2025-01-30
INV-2025746052,PO-6803,Pari Khan,parikhan@example.com,69789.05,3489.45,73278.5,INR,2025-05-31
INV-2025899911,PO-1418,Arjun Menon,arjunmenon@mailinator.com,53683.44,6442.01,60125.45,INR,2025-03-05
INV-2025905776,,Mira Bansal,mirabansal@demo.co,116740.98,21013.38,137754.36,INR,2025-02-15
INV-2025405993,,Arjun Reddy,arjunreddy@test.org,180351.12,32463.2,212814.32,INR,2025-01-27
INV-2025414913,,Riya Kulkarni,riyakulkar@mailinator.com,151467.27,7573.36,159040.63,INR,2025-07-30
INV-2025628094,,Pari Bansal,paribansal@example.com,52714.59,6325.75,59040.34,INR,2025-06-09
INV-2025625429,PO-9102,Diya Mukherjee,diyamukher@sample.net,129396.95,23291.45,152688.4,INR,2025-03-18
INV-2025355366,,Pari Patel,paripatel@sample.net,140303.67,25254.66,165558.33,INR,2025-06-22
INV-2025506724,PO-5893,Pari Verma,pariverma@sample.net,150856.68,18102.8,168959.48,INR,2025-07-27
INV-2025532854,PO-5494,Aisha Reddy,aishareddy@demo.co,12700.22,1524.03,14224.25,INR,2025-02-06
INV-2025352218,PO-1461,Diya Chopra,diyachopra@test.org,169150.42,8457.52,177607.94,INR,2025-07-21
INV-2025922027,PO-2159,Mira Nair,miranair@mailinator.com,68022.85,8162.74,76185.59,INR,2025-07-21
INV-2025356441,PO-4977,Arjun Iyer,arjuniyer@example.com,57706.76,10387.22,68093.98,INR,2025-03-02
INV-2025610372,PO-5389,Aarav Das,aaravdas@test.org,13457.93,672.9,14130.83,INR,2025-05-14
INV-2025820170,,Mira Rao,mirarao@sample.net,144354.68,7217.73,151572.41,INR,2025-03-10
INV-2025809885,PO-7769,Arjun Rao,arjunrao@demo.co,70748.15,8489.78,79237.93,INR,2025-02-27
INV-2025738906,PO-4533,Aarav Das,aaravdas@sample.net,19760.41,988.02,20748.43,INR,2025-01-24
INV-2025931770,,Navya Sharma,navyasharm@demo.co,186907.71,22428.93,209336.64,INR,2025-04-13
INV-2025337014,PO-9740,Aarav Kulkarni,aaravkulka@example.com,170577.07,30703.87,201280.94,INR,2025-04-04
INV-2025818583,,Ritvik Bansal,ritvikbans@example.com,151282.33,27230.82,178513.15,INR,2025-07-24
INV-2025290510,,Diya Chopra,diyachopra@test.org,94059.7,11287.16,105346.86,INR,2025-07-10
INV-2025324534,PO-7812,Aarav Kulkarni,aaravkulka@example.com,96159.75,4807.99,100967.74,INR,2025-01-27
INV-2025846117,PO-5488,Aarav Kulkarni,aaravkulka@example.com,80738.49,14532.93,95271.42,INR,2025-07-29
INV-2025887576,,Rohan Iyer,rohaniyer@example.com,170591.34,20470.96,191062.3,INR,2025-01-23
INV-2025515958,,Aarav Singh,aaravsingh@mailinator.com,73961.2,13313.02,87274.22,INR,2025-04-08
INV-2025929881,,Kiara Kapoor,kiarakapoo@test.org,189851.02,22782.12,212633.14,INR,2025-07-26
INV-2025396635,,Vihaan Das,vihaandas@sample.net,1711.98,308.16,2020.14,INR,2025-07-16
INV-2025130184,PO-2115,Diya Mehta,diyamehta@mailinator.com,47592.63,5711.12,53303.75,INR,2025-03-14
INV-2025717581,PO-3055,Aisha Chopra,aishachopr@mailinator.com,60199.03,3009.95,63208.98,INR,2025-07-02
INV-2025358343,PO-4714,Ishaan Singh,ishaansing@test.org,166730.92,30011.57,196742.49,INR,2025-07-11
INV-2025926269,PO-2696,Aisha Bansal,aishabansa@sample.net,100857.75,12102.93,112960.68,INR,2025-06-16
INV-2025478644,PO-6115,Vivaan Mehta,vivaanmeht@sample.net,171578.48,30884.13,202462.61,INR,2025-01-11
INV-2025537352,PO-5532,Rohan Kapoor,rohankapoo@mailinator.com,37047.94,6668.63,43716.57,INR,2025-03-14
INV-2025588672,PO-2350,Krishna Kulkarni,krishnakul@sample.net,90088.67,10810.64,100899.31,INR,2025-06-12
INV-2025377723,PO-4560,Anaya Singh,anayasingh@sample.net,195896.23,23507.55,219403.78,INR,2025-04-11
INV-2025739086,,Sai Verma,saiverma@sample.net,128756.62,6437.83,135194.45,INR,2025-03-07
INV-2025924634,,Sai Ghosh,saighosh@example.com,110699.34,19925.88,130625.22,INR,2025-02-01
INV-2025772089,PO-1566,Pari Patel,paripatel@sample.net,191022.55,9551.13,200573.68,INR,2025-07-05
INV-2025650716,,Sai Nair,sainair@test.org,159558.47,7977.92,167536.39,INR,2025-04-14
INV-2025197710,PO-7077,Riya Kulkarni,riyakulkar@mailinator.com,127077.67,22873.98,149951.65,INR,2025-04-19
INV-2025991544,PO-4321,Riya Kulkarni,riyakulkar@example.com,13580.69,1629.68,15210.37,INR,2025-06-22
INV-2025728856,PO-1637,Aarav Das,aaravdas@sample.net,148505.28,7425.26,155930.54,INR,2025-05-28
INV-2025354343,PO-5752,Anaya Sharma,anayasharm@test.org,155277.0,7763.85,163040.85,INR,2025-02-15
INV-2025950984,PO-1843,Aisha Reddy,aishareddy@demo.co,188069.56,33852.52,221922.08,INR,2025-03-30
INV-2025491854,PO-6367,Rohan Menon,rohanmenon@test.org,41829.18,7529.25,49358.43,INR,2025-05-26
INV-2025644418,,Mira Kulkarni,mirakulkar@demo.co,21832.88,2619.95,24452.83,INR,2025-08-02
INV-2025380154,,Aditya Bansal,adityabans@test.org,48415.6,8714.81,57130.41,INR,2025-06-25
INV-2025224324,PO-3633,Aarav Chopra,aaravchopr@sample.net,168184.32,8409.22,176593.54,INR,2025-07-24
INV-2025603994,PO-8012,Ira Mehta,iramehta@sample.net,195719.01,35229.42,230948.43,INR,2025-07-22
INV-2025843673,,Navya Menon,navyamenon@mailinator.com,101504.95,18270.89,119775.84,INR,2025-03-06
INV-2025810890,PO-9492,Rohan Menon,rohanmenon@test.org,103398.51,12407.82,115806.33,INR,2025-03-07
INV-2025547335,PO-6798,Aarav Sharma,aaravsharm@example.com,120286.18,14434.34,134720.52,INR,2025-01-30
INV-2025177031,,Ritvik Chopra,ritvikchop@sample.net,66620.06,3331.0,69951.06,INR,2025-03-09
INV-2025328327,,Rohan Bansal,rohanbansa@example.com,160637.37,28914.73,189552.1,INR,2025-08-07
INV-2025627792,PO-8290,Rohan Iyer,rohaniyer@example.com,198593.9,23831.27,222425.17,INR,2025-07-05
INV-2025367697,,Ishaan Pillai,ishaanpill@test.org,114360.01,5718.0,120078.01,INR,2025-03-12
INV-2025690424,PO-9295,Anaya Singh,anayasingh@sample.net,115103.5,5755.18,120858.68,INR,2025-02-01
INV-2025369344,PO-1763,Ishaan Reddy,ishaanredd@demo.co,96079.5,4803.98,100883.48,INR,2025-06-06
INV-2025503745,PO-3448,Aarav Singh,aaravsingh@mailinator.com,61094.34,10996.98,72091.32,INR,2025-01-14
INV-2025798400,,Vihaan Das,vihaandas@sample.net,191232.13,34421.78,225653.91,INR,2025-01-29
INV-2025724132,PO-3088,Ritvik Reddy,ritvikredd@test.org,117926.82,21226.83,139153.65,INR,2025-07-15
INV-2025946991,,Aisha Das,aishadas@test.org,171701.5,8585.08,180286.58,INR,2025-07-18
INV-2025690380,,Krishna Kulkarni,krishnakul@sample.net,168140.96,8407.05,176548.01,INR,2025-03-03
INV-2025942188,PO-5860,Diya Pillai,diyapillai@sample.net,121536.48,21876.57,143413.05,INR,2025-06-29
INV-2025967092,PO-7334,Pari Verma,pariverma@sample.net,16193.96,1943.28,18137.24,INR,2025-04-08
INV-2025517470,PO-7374,Aditya Bansal,adityabans@test.org,93514.54,16832.62,110347.16,INR,2025-05-11
INV-2025739821,,Aisha Reddy,aishareddy@demo.co,170324.5,20438.94,190763.44,INR,2025-01-13
INV-2025888535,PO-6030,Ritvik Reddy,ritvikredd@test.org,132878.94,23918.21,156797.15,INR,2025-03-28
INV-2025784872,,Navya Gupta,navyagupta@demo.co,52557.17,9460.29,62017.46,INR,2025-06-05
INV-2025309630,PO-6674,Kiara Ghosh,kiaraghosh@demo.co,137709.41,6885.47,144594.88,INR,2025-01-06
INV-2025815368,,Mira Kulkarni,mirakulkar@demo.co,103031.52,5151.58,108183.1,INR,2025-07-22
INV-2025209920,,Ritvik Pillai,ritvikpill@sample.net,108476.24,13017.15,121493.39,INR,2025-01-21
INV-2025861700,PO-2390,Diya Bansal,diyabansal@demo.co,25305.64,4555.02,29860.66,INR,2025-05-28
INV-2025875574,,Ishaan Singh,ishaansing@test.org,149575.97,26923.67,176499.64,INR,2025-03-05
INV-2025957359,PO-8735,Ritvik Reddy,ritvikredd@test.org,80751.09,4037.55,84788.64,INR,2025-07-07
INV-2025954626,PO-9550,Anaya Singh,anayasingh@sample.net,69377.66,8325.32,77702.98,INR,2025-03-07
INV-2025311535,PO-4933,Ritvik Chopra,ritvikchop@sample.net,21425.3,2571.04,23996.34,INR,2025-01-10
INV-2025773284,,Vihaan Rao,vihaanrao@demo.co,63431.03,3171.55,66602.58,INR,2025-06-22
INV-2025372137,,Aisha Bansal,aishabansa@sample.net,44043.33,7927.8,51971.13,INR,2025-02-01
INV-2025837776,,Vihaan Das,vihaandas@sample.net,146103.12,17532.37,163635.49,INR,2025-03-31
INV-2025555898,,Kiara Kapoor,kiarakapoo@test.org,194100.02,23292.0,217392.02,INR,2025-02-24
INV-2025156208,PO-9538,Arjun Menon,arjunmenon@mailinator.com,66798.83,12023.79,78822.62,INR,2025-02-27
INV-2025312031,PO-3865,Diya Pillai,diyapillai@sample.net,160704.51,8035.23,168739.74,INR,2025-03-04
INV-2025629728,PO-2004,Arjun Bansal,arjunbansa@example.com,40784.54,4894.14,45678.68,INR,2025-03-21
INV-2025404180,PO-6317,Ritvik Bansal,ritvikbans@example.com,188512.72,22621.53,211134.25,INR,2025-06-01
INV-2025517799,PO-7720,Vivaan Bansal,vivaanbans@test.org,158459.12,19015.09,177474.21,INR,2025-04-05
INV-2025357627,PO-1718,Riya Nair,riyanair@example.com,147587.15,7379.36,154966.51,INR,2025-06-11
INV-2025345107,PO-5035,Rohan Menon,rohanmenon@test.org,104643.31,12557.2,117200.51,INR,2025-06-19
INV-2025757593,,Rohan Bansal,rohanbansa@example.com,86272.38,10352.69,96625.07,INR,2025-07-30
INV-2025960008,,Krishna Iyer,krishnaiye@example.com,87375.63,10485.08,97860.71,INR,2025-05-12
INV-2025147804,,Vihaan Khan,vihaankhan@demo.co,115792.44,5789.62,121582.06,INR,2025-07-16
INV-2025763567,PO-5157,Krishna Khan,krishnakha@test.org,35786.91,6441.64,42228.55,INR,2025-07-22
INV-2025879402,,Diya Bansal,diyabansal@demo.co,83616.49,4180.82,87797.31,INR,2025-03-22
INV-2025598428,,Rohan Kapoor,rohankapoo@sample.net,82309.47,14815.7,97125.17,INR,2025-02-24
INV-2025351175,PO-8976,Ira Khan,irakhan@demo.co,148252.49,7412.62,155665.11,INR,2025-05-01
INV-2025413313,PO-8101,Arjun Iyer,arjuniyer@example.com,155832.45,28049.84,183882.29,INR,2025-02-15
INV-2025868616,PO-9783,Riya Khan,riyakhan@mailinator.com,185872.73,33457.09,219329.82,INR,2025-04-23
INV-2025853427,PO-8803,Vihaan Das,vihaandas@demo.co,6526.52,326.33,6852.85,INR,2025-02-20
INV-2025130358,PO-3465,Aarav Kulkarni,aaravkulka@sample.net,97720.12,4886.01,102606.13,INR,2025-05-16
INV-2025355067,PO-9829,Rohan Menon,rohanmenon@test.org,50056.74,6006.81,56063.55,INR,2025-03-31
INV-2025542057,,Sai Nair,sainair@test.org,71808.85,8617.06,80425.91,INR,2025-04-13
INV-2025293705,,Rohan Iyer,rohaniyer@example.com,100397.4,5019.87,105417.27,INR,2025-04-16
INV-2025714120,,Aarav Kulkarni,aaravkulka@example.com,90880.24,10905.63,101785.87,INR,2025-05-10
INV-2025383898,PO-9335,Kiara Ghosh,kiaraghosh@demo.co,159256.83,19110.82,178367.65,INR,2025-02-07
INV-2025304820,PO-5976,Arjun Khan,arjunkhan@test.org,32202.98,5796.54,37999.52,INR,2025-07-21
INV-2025327286,,Aisha Chopra,aishachopr@mailinator.com,193039.61,34747.13,227786.74,INR,2025-05-16
INV-2025114040,PO-8815,Rohan Nair,rohannair@test.org,52334.64,2616.73,54951.37,INR,2025-05-29
INV-2025337496,,Anaya Iyer,anayaiyer@sample.net,175246.35,21029.56,196275.91,INR,2025-03-16
INV-2025804897,PO-1848,Anaya Sharma,anayasharm@test.org,50048.22,9008.68,59056.9,INR,2025-03-11
INV-2025591834,PO-1788,Vihaan Rao,vihaanrao@demo.co,40023.27,2001.16,42024.43,INR,2025-03-16
INV-2025854060,PO-4035,Riya Kulkarni,riyakulkar@mailinator.com,11204.16,560.21,11764.37,INR,2025-04-22
INV-2025557482,PO-2381,Sai Menon,saimenon@test.org,169926.5,8496.33,178422.83,INR,2025-07-25
INV-2025279833,PO-2920,Pari Singh,parisingh@example.com,114682.68,20642.88,135325.56,INR,2025-02-12
INV-2025786410,,Kiara Singh,kiarasingh@demo.co,64960.49,11692.89,76653.38,INR,2025-07-14
INV-2025964152,PO-2600,Mira Rao,mirarao@sample.net,110842.63,13301.12,124143.75,INR,2025-07-19
INV-2025673680,PO-4374,Ritvik Bansal,ritvikbans@example.com,168141.62,8407.08,176548.7,INR,2025-07-17
INV-2025797476,,Diya Pillai,diyapillai@sample.net,24457.8,2934.94,27392.74,INR,2025-07-08
INV-2025408000,,Arjun Reddy,arjunreddy@test.org,177974.98,32035.5,210010.48,INR,2025-01-26
INV-2025995510,,Vivaan Rao,vivaanrao@example.com,8111.26,1460.03,9571.29,INR,2025-02-04
INV-2025804008,,Sara Rao,sararao@example.com,181634.51,32694.21,214328.72,INR,2025-07-26
INV-2025567203,PO-1658,Rohan Menon,rohanmenon@test.org,119036.05,14284.33,133320.38,INR,2025-01-19
INV-2025482392,PO-9889,Pari Ghosh,parighosh@demo.co,163840.73,8192.04,172032.77,INR,2025-05-07
INV-2025978473,,Arjun Nair,arjunnair@test.org,82064.33,9847.72,91912.05,INR,2025-04-04
INV-2025369521,,Rohan Nair,rohannair@test.org,145644.69,7282.23,152926.92,INR,2025-06-19
INV-2025253883,,Aisha Das,aishadas@test.org,89815.42,16166.78,105982.2,INR,2025-03-26
INV-2025278683,,Aisha Bansal,aishabansa@sample.net,12164.94,608.25,12773.19,INR,2025-05-20
INV-2025617356,PO-7613,Vihaan Kapoor,vihaankapo@example.com,131152.05,15738.25,146890.3,INR,2025-03-07
INV-2025102780,PO-2311,Aarav Kulkarni,aaravkulka@example.com,66538.11,3326.91,69865.02,INR,2025-05-08
INV-2025767480,PO-5172,Pari Singh,parisingh@example.com,174309.53,20917.14,195226.67,INR,2025-06-16
INV-2025572349,PO-1498,Riya Reddy,riyareddy@test.org,124432.29,14931.87,139364.16,INR,2025-06-20
INV-2025826683,PO-2569,Aarav Das,aaravdas@sample.net,184497.94,9224.9,193722.84,INR,2025-03-24
INV-2025376143,PO-8956,Ishaan Singh,ishaansing@test.org,175570.62,21068.47,196639.09,INR,2025-04-14
INV-2025429516,PO-3823,Pari Chopra,parichopra@example.com,151932.84,27347.91,179280.75,INR,2025-06-16
INV-2025197944,PO-2744,Arjun Menon,arjunmenon@mailinator.com,86620.21,10394.43,97014.64,INR,2025-04-08
INV-2025129630,,Sai Menon,saimenon@test.org,108618.06,5430.9,114048.96,INR,2025-07-06
INV-2025213582,PO-7192,Vihaan Rao,vihaanrao@demo.co,154063.59,18487.63,172551.22,INR,2025-02-08
INV-2025583353,,Ira Mehta,iramehta@sample.net,81355.54,9762.66,91118.2,INR,2025-02-23
INV-2025850147,PO-8962,Pari Khan,parikhan@example.com,13476.52,2425.77,15902.29,INR,2025-01-23
INV-2025301889,,Pari Reddy,parireddy@mailinator.com,144802.97,7240.15,152043.12,INR,2025-04-24
INV-2025883393,,Pari Bansal,paribansal@example.com,158238.04,18988.56,177226.6,INR,2025-03-17
INV-2025555586,,Aditya Bansal,adityabans@test.org,191753.55,23010.43,214763.98,INR,2025-05-21
INV-2025143566,PO-4592,Ishaan Pillai,ishaanpill@test.org,84955.38,15291.97,100247.35,INR,2025-01-11
INV-2025810606,,Aisha Mehta,aishamehta@mailinator.com,52558.32,9460.5,62018.82,INR,2025-06-01
INV-2025995713,PO-7831,Krishna Kulkarni,krishnakul@sample.net,37202.73,4464.33,41667.06,INR,2025-07-04
INV-2025600893,PO-1376,Diya Mukherjee,diyamukher@sample.net,110999.3,5549.97,116549.27,INR,2025-05-14
INV-2025442018,PO-7303,Diya Pillai,diyapillai@sample.net,149769.75,7488.49,157258.24,INR,2025-07-29
INV-2025499501,,Mira Bansal,mirabansal@demo.co,138412.07,16609.45,155021.52,INR,2025-06-14
INV-2025154229,PO-3039,Arjun Iyer,arjuniyer@sample.net,175388.56,21046.63,196435.19,INR,2025-02-28
INV-2025157989,PO-5172,Aarav Das,aaravdas@test.org,99138.84,11896.66,111035.5,INR,2025-06-07
INV-2025945146,PO-1767,Rohan Nair,rohannair@test.org,115092.53,13811.1,128903.63,INR,2025-02-12
INV-2025189567,PO-6677,Rohan Iyer,rohaniyer@example.com,75418.03,9050.16,84468.19,INR,2025-01-27
INV-2025890294,PO-5504,Aisha Bansal,aishabansa@sample.net,33451.21,6021.22,39472.43,INR,2025-08-03
INV-2025675395,PO-7042,Pari Patel,paripatel@sample.net,105880.68,5294.03,111174.71,INR,2025-04-12
INV-2025163367,PO-6566,Pari Ghosh,parighosh@demo.co,190506.54,22860.78,213367.32,INR,2025-04-07
INV-2025828334,PO-2955,Sai Ghosh,saighosh@example.com,178927.07,32206.87,211133.94,INR,2025-06-24
INV-2025484549,,Krishna Verma,krishnaver@test.org,138863.15,16663.58,155526.73,INR,2025-06-29
INV-2025535576,PO-3314,Pari Patel,paripatel@sample.net,31521.72,5673.91,37195.63,INR,2025-02-08
INV-2025501132,,Vihaan Nair,vihaannair@example.com,148224.02,17786.88,166010.9,INR,2025-03-04
INV-2025436920,PO-5452,Aisha Das,aishadas@test.org,122716.2,14725.94,137442.14,INR,2025-04-28
INV-2025333444,,Vivaan Bansal,vivaanbans@example.com,11243.58,1349.23,12592.81,INR,2025-02-05
INV-2025519252,,Kiara Kapoor,kiarakapoo@test.org,166411.91,19969.43,186381.34,INR,2025-06-29
INV-2025354329,,Vihaan Kapoor,vihaankapo@example.com,176426.28,21171.15,197597.43,INR,2025-03-07
INV-2025285358,PO-3747,Krishna Khan,krishnakha@test.org,44987.35,8097.72,53085.07,INR,2025-01-04
INV-2025892595,PO-4880,Sai Nair,sainair@test.org,46818.71,5618.25,52436.96,INR,2025-02-21
INV-2025553097,PO-3274,Arjun Bansal,arjunbansa@example.com,199437.6,23932.51,223370.11,INR,2025-03-17
INV-2025728141,PO-8409,Mira Rao,mirarao@demo.co,67061.27,8047.35,75108.62,INR,2025-03-23
INV-2025823449,PO-6455,Aarav Das,aaravdas@sample.net,178968.78,8948.44,187917.22,INR,2025-04-11
INV-2025594378,PO-2195,Arjun Reddy,arjunreddy@test.org,49943.27,2497.16,52440.43,INR,2025-01-05
INV-2025677444,PO-3343,Rohan Kapoor,rohankapoo@mailinator.com,53985.52,9717.39,63702.91,INR,2025-06-03
